timestamp,cpu_percent,ram_percent,disk_read_delta,disk_write_delta,net_sent_delta,net_recv_delta,label
2026-01-12 15:11:11.057772,15.3,85.7,0.0,0.0,0.0,0.0,0
2026-01-12 15:11:12.071941,5.6,85.6,53248.0,1785856.0,197.0,200.0,0
2026-01-12 15:11:13.081818,9.9,85.6,0.0,1581056.0,0.0,60.0,0
2026-01-12 15:11:14.091124,3.5,85.7,12288.0,0.0,0.0,86.0,0
2026-01-12 15:11:15.100551,4.9,85.7,0.0,2363392.0,42.0,120.0,0
2026-01-12 15:11:16.111295,7.7,85.7,0.0,1634304.0,12936.0,9061.0,0
2026-01-12 15:11:17.188323,35.6,86.5,196608.0,2121728.0,0.0,185.0,0
2026-01-12 15:11:18.221386,96.9,86.6,0.0,57344.0,1529.0,1489.0,1
2026-01-12 15:11:19.234224,97.4,86.6,0.0,1499136.0,2228.0,3114.0,1
2026-01-12 15:11:20.252995,97.2,86.6,0.0,1806336.0,571.0,329.0,1
2026-01-12 15:11:21.273849,96.5,86.6,0.0,1589248.0,1199.0,1808.0,1
2026-01-12 15:11:22.292221,95.9,86.6,0.0,90112.0,1244.0,1500.0,1
2026-01-12 15:11:23.310526,95.1,86.5,65536.0,2093056.0,1585.0,385.0,1
2026-01-12 15:11:24.328277,95.6,86.5,0.0,1519616.0,1556.0,1432.0,1
2026-01-12 15:11:25.342088,95.6,86.5,0.0,1634304.0,462.0,652.0,1
2026-01-12 15:11:26.357910,95.7,86.6,65536.0,0.0,125.0,760.0,1
2026-01-12 15:11:27.372110,95.7,86.5,0.0,1593344.0,42.0,484.0,1
2026-01-12 15:11:28.384701,94.8,86.5,0.0,1974272.0,207.0,701.0,1
2026-01-12 15:11:29.468186,98.4,86.5,0.0,1376256.0,0.0,384.0,1
2026-01-12 15:11:30.485142,95.0,86.4,0.0,4096.0,0.0,132.0,1
2026-01-12 15:11:31.499245,95.7,86.4,0.0,1556480.0,243.0,3263.0,1
2026-01-12 15:11:32.512931,95.2,86.4,0.0,1896448.0,0.0,78.0,1
2026-01-12 15:11:33.526671,96.5,86.4,0.0,1859584.0,0.0,170.0,1
2026-01-12 15:11:34.541308,96.6,86.4,24576.0,0.0,71.0,66.0,1
2026-01-12 15:11:35.555897,95.5,86.3,139264.0,1425408.0,788.0,1293.0,1
2026-01-12 15:11:36.579185,96.3,86.3,0.0,1531904.0,71.0,226.0,1
2026-01-12 15:11:37.595068,96.0,86.3,0.0,1753088.0,165.0,258.0,1
2026-01-12 15:11:38.609550,95.9,86.3,0.0,0.0,97.0,126.0,1
2026-01-12 15:11:39.622985,95.8,86.3,0.0,1576960.0,0.0,60.0,1
2026-01-12 15:11:40.951081,96.6,86.3,0.0,1896448.0,178.0,609.0,1
2026-01-12 15:11:42.020544,96.9,86.3,0.0,1691648.0,0.0,60.0,1
2026-01-12 15:11:43.065757,100.0,86.3,65536.0,1564672.0,0.0,60.0,1
2026-01-12 15:11:44.119611,100.0,86.3,0.0,0.0,0.0,78.0,1
2026-01-12 15:11:45.169235,100.0,86.3,0.0,2068480.0,149.0,214.0,1
2026-01-12 15:11:46.223364,100.0,86.3,0.0,1286144.0,89.0,272.0,1
2026-01-12 15:11:47.265586,100.0,86.3,0.0,1351680.0,0.0,978.0,1
2026-01-12 15:11:48.278698,98.5,86.3,0.0,0.0,460.0,1949.0,1
2026-01-12 15:11:49.293274,95.4,86.3,0.0,2523136.0,483.0,768.0,1
2026-01-12 15:11:50.307763,95.9,86.3,0.0,2224128.0,230.0,2390.0,1
2026-01-12 15:11:51.320368,95.5,86.3,0.0,1544192.0,725.0,1172.0,1
2026-01-12 15:11:52.335405,95.8,86.3,0.0,0.0,89.0,54.0,1
2026-01-12 15:11:53.349317,95.7,86.3,0.0,1646592.0,0.0,60.0,1
2026-01-12 15:11:54.659388,96.7,86.3,0.0,1695744.0,0.0,650.0,1
2026-01-12 15:11:56.044924,100.0,86.3,0.0,1843200.0,0.0,60.0,1
2026-01-12 15:11:57.336849,100.0,86.2,0.0,2453504.0,55.0,338.0,1
2026-01-12 15:11:58.720696,100.0,86.2,163840.0,1892352.0,0.0,212.0,1
2026-01-12 15:11:59.744683,98.0,86.2,579072.0,1646592.0,7765.0,12906.0,1
2026-01-12 15:12:00.760186,95.8,86.3,0.0,40960.0,660.0,1693.0,1
2026-01-12 15:12:02.113743,98.2,86.3,65536.0,2117632.0,7793.0,6077.0,1
